slug,csv_file,page_number,table_number,rows,columns,total_nonempty_cells,matched_nonempty_cells,cell_match_rate,total_first_column_values,matched_first_column_values,first_column_match_rate,total_header_values,matched_header_values,header_match_rate,status,missing_samples
basic,ip_plan_tables/csv/basic/page_001_table_01.csv,1,1,15,4,49,49,1.0,14,14,1.0,0,0,1.0,pass,[]
basic,ip_plan_tables/csv/basic/page_002_table_01.csv,2,1,19,4,59,59,1.0,19,19,1.0,4,4,1.0,pass,[]
basic,ip_plan_tables/csv/basic/page_003_table_01.csv,3,1,8,4,28,28,1.0,8,8,1.0,4,4,1.0,pass,[]
basic,ip_plan_tables/csv/basic/page_004_table_01.csv,4,1,13,4,46,46,1.0,13,13,1.0,4,4,1.0,pass,[]
basic,ip_plan_tables/csv/basic/page_005_table_01.csv,5,1,17,4,63,63,1.0,16,16,1.0,1,1,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_001_table_01.csv,1,1,33,2,59,59,1.0,32,32,1.0,2,2,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_002_table_01.csv,2,1,15,2,26,26,1.0,15,15,1.0,2,2,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_003_table_01.csv,3,1,16,8,121,121,1.0,16,16,1.0,8,8,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_004_table_01.csv,4,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_004_table_02.csv,4,2,16,7,112,112,1.0,16,16,1.0,2,2,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_005_table_01.csv,5,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
standard_integrated_shield_plans,ip_plan_tables/csv/standard_integrated_shield_plans/page_005_table_02.csv,5,2,16,4,64,64,1.0,16,16,1.0,1,1,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_001_table_01.csv,1,1,13,10,87,87,1.0,13,13,1.0,0,0,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_002_table_01.csv,2,1,19,10,121,121,1.0,19,19,1.0,10,10,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_003_table_01.csv,3,1,10,10,90,90,1.0,10,10,1.0,10,10,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_004_table_01.csv,4,1,12,10,102,102,1.0,12,12,1.0,10,10,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_005_table_01.csv,5,1,13,10,107,107,1.0,13,13,1.0,10,10,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_006_table_01.csv,6,1,16,10,151,151,1.0,16,16,1.0,10,10,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_007_table_01.csv,7,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_007_table_02.csv,7,2,16,7,112,112,1.0,16,16,1.0,2,2,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_008_table_01.csv,8,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
class_b1_plans,ip_plan_tables/csv/class_b1_plans/page_008_table_02.csv,8,2,16,10,159,159,1.0,16,16,1.0,3,3,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_001_table_01.csv,1,1,12,10,73,73,1.0,12,12,1.0,10,10,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_002_table_01.csv,2,1,20,10,126,126,1.0,20,20,1.0,0,0,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_003_table_01.csv,3,1,7,10,59,59,1.0,7,7,1.0,10,10,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_004_table_01.csv,4,1,13,10,119,119,1.0,13,13,1.0,10,10,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_005_table_01.csv,5,1,15,10,130,130,1.0,15,15,1.0,10,10,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_006_table_01.csv,6,1,16,10,151,151,1.0,16,16,1.0,10,10,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_007_table_01.csv,7,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_007_table_02.csv,7,2,16,7,112,112,1.0,16,16,1.0,2,2,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_008_table_01.csv,8,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
class_a_plans,ip_plan_tables/csv/class_a_plans/page_008_table_02.csv,8,2,16,10,160,160,1.0,16,16,1.0,3,3,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_001_table_01.csv,1,1,12,11,79,79,1.0,12,12,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_002_table_01.csv,2,1,19,11,127,127,1.0,19,19,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_003_table_01.csv,3,1,8,11,75,75,1.0,8,8,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_004_table_01.csv,4,1,12,11,121,121,1.0,12,12,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_005_table_01.csv,5,1,14,11,127,127,1.0,14,14,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_007_table_01.csv,7,1,16,11,155,155,1.0,16,16,1.0,11,11,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_008_table_01.csv,8,1,17,7,114,114,1.0,16,16,1.0,1,1,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_008_table_02.csv,8,2,16,10,160,160,1.0,16,16,1.0,3,3,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_009_table_01.csv,9,1,17,10,126,126,1.0,16,16,1.0,1,1,1.0,pass,[]
private_hospital_plans,ip_plan_tables/csv/private_hospital_plans/page_009_table_02.csv,9,2,16,7,112,112,1.0,16,16,1.0,2,2,1.0,pass,[]
